Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
ESCOM,5.24,9.9,41.02,17.29,-0.92,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 5.23 (%0.3 altta) | EMA100 Direnç: 5.40 (%3.0 üstte)
ESEN,3.52,1.53,50.63,33.97,-0.61,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,3.90-4.00 (%10.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 3.50 (%0.5 altta) | EMA55 Direnç: 3.57 (%1.5 üstte)
ETILR,6.05,19.63,52.14,65.25,-0.38,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,3.86-4.09 (%32.4 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 5.97 (%1.3 altta)
ETYAT,15.26,41.04,53.15,44.36,0.75,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,🩸 SAT (Zirveden Dönüş),-,🟢 Yükseliş Trendinde,7.91-8.11 (%46.9 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 15.20 (%0.4 altta) | EMA5 Direnç: 15.60 (%2.3 üstte)
EUHOL,9.75,-1.19,38.64,9.32,-0.93,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,13.50-13.60 (%38.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 9.87 (%1.2 üstte)
EUKYO,13.68,50.52,57.67,37.66,-0.1,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,5.77-6.09 (%55.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 13.60 (%0.6 altta)
EUPWR,74.3,19.9,35.53,6.85,-0.71,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,34.14-35.46 (%52.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 61.97 (%16.6 altta) | EMA5 Direnç: 76.52 (%3.0 üstte)
EUREN,4.04,3.38,56.76,81.74,0.12,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,4.64-4.77 (%14.9 üstte),🚨Fiyat Bandın Üzerinde!,🚨 BB SIKIŞMA,0.37,EMA5 Destek: 3.93 (%2.6 altta) | EMA55 Direnç: 4.09 (%1.2 üstte)
EUYO,4.76,-0.42,41.95,62.53,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,5.40-6.01 (%13.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 4.78 (%0.4 üstte)
EYGYO,2.64,2.26,52.5,26.55,-0.28,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,3.06-3.27 (%15.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 2.64 (%0.2 altta) | EMA100 Direnç: 2.69 (%1.9 üstte)
FADE,15.76,2.91,49.14,61.92,0.3,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,14.84-15.83 (fiyat bandın içinde!),-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA200 Destek: 15.31 (%2.8 altta) | EMA100 Direnç: 15.76 (%0.0 üstte)
FENER,2.93,-2.54,38.98,4.84,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,2.76-2.85 (%2.7 altta),11.55-12.22 (%294.2 üstte),🚨Fiyat Bandın Altında!,🟠 Daralıyor,-0.13,EMA5 Direnç: 3.01 (%2.6 üstte)
FLAP,12.08,11.91,65.83,85.97,0.81,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,8.33-8.77 (%27.4 altta),-,🚨Fiyat Bandın Üzerinde!,🟡 Normal Genişlik,2.26,EMA5 Destek: 11.54 (%4.4 altta)
FMIZP,295.5,1.07,51.49,37.19,-0.68,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,276.00-286.00 (%3.2 altta),326.73-339.28 (%10.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA55 Destek: 294.09 (%0.5 altta) | EMA100 Direnç: 295.89 (%0.1 üstte)
FONET,4.83,11.06,41.28,25.71,-0.94,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.80 (%0.6 altta) | EMA100 Direnç: 5.02 (%4.0 üstte)
FORMT,1.52,0.56,30.04,56.26,-0.9,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,2.88-2.96 (%89.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 1.51 (%0.6 altta) | EMA21 Direnç: 1.62 (%6.6 üstte)
FORTE,116.1,18.44,48.2,24.58,-0.85,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,87.75-90.75 (%21.8 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 114.62 (%1.3 altta) | EMA21 Direnç: 118.51 (%2.1 üstte)
FRIGO,2.56,6.59,57.98,32.42,0.19,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,2.04-2.15 (%16.0 altta),3.03-3.27 (%18.4 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 2.48 (%3.0 altta)
FRMPL,32.36,999,44.34,41.2,-0.86,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,29.74-31.20 (%3.6 altta),44.96-49.00 (%38.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 32.33 (%0.1 altta) | EMA21 Direnç: 33.32 (%3.0 üstte)
FROTO,84.25,6.29,65.32,84.34,0.08,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,107.03-110.02 (%27.0 üstte),🚨Fiyat Bandın Üzerinde!,🟠 Daralıyor,1.55,EMA55 Destek: 81.54 (%3.2 altta) | EMA100 Direnç: 85.27 (%1.2 üstte)
FZLGY,8.44,0.58,31.47,39.83,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 8.39 (%0.6 altta) | EMA21 Direnç: 9.52 (%12.8 üstte)
GARAN,136.0,3.66,61.71,72.11,0.63,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,120.00-124.30 (%8.6 altta),151.48-159.65 (%11.4 üstte),🚨Fiyat Bandın Üzerinde!,🚨 BB SIKIŞMA,0.22,EMA5 Destek: 134.13 (%1.4 altta)
GARFA,27.06,0.64,51.16,47.18,0.27,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 26.89 (%0.6 altta) | EMA55 Direnç: 27.51 (%1.7 üstte)
GATEG,280.0,-1.12,43.43,17.24,-0.56,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,312.00-319.50 (%11.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 283.17 (%1.1 üstte)
GEDIK,5.81,-0.28,34.71,20.17,-0.94,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,5.18-5.28 (%9.1 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 5.83 (%0.3 üstte)
GEDZA,27.92,-0.55,42.97,15.13,-0.73,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,26.52-27.78 (%0.5 altta),29.28-30.30 (%4.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 28.07 (%0.6 üstte)
GENIL,12.34,21.84,64.4,38.02,-0.46,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,8.81-9.14 (%25.9 altta),12.41-13.24 (%0.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 11.72 (%5.0 altta)
GENKM,11.71,999,60.49,92.58,0.48,-,🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,1.64,EMA55 Destek: 11.66 (%0.4 altta) | EMA100 Direnç: 12.62 (%7.7 üstte)
GENTS,5.29,1.42,47.79,82.27,-0.35,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,9.80-10.53 (%85.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 5.28 (%0.3 altta) | EMA55 Direnç: 5.74 (%8.5 üstte)
GEREL,38.64,21.79,47.07,77.37,-0.49,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,16.38-17.05 (%55.9 altta),44.88-47.00 (%16.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 38.24 (%1.0 altta) | EMA21 Direnç: 39.26 (%1.6 üstte)
GESAN,63.5,0.15,30.59,5.1,-0.8,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 63.41 (%0.1 altta) | EMA5 Direnç: 67.02 (%5.5 üstte)
GIPTA,78.05,6.19,50.85,18.44,-0.62,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,55.45-59.60 (%23.6 altta),134.11-137.35 (%71.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 76.49 (%2.0 altta) | EMA21 Direnç: 78.09 (%0.1 üstte)
GLBMD,11.48,-0.65,37.7,40.25,-0.9,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 11.56 (%0.7 üstte)
GLCVY,51.85,-0.35,47.55,47.15,-0.27,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,48.70-51.10 (%1.4 altta),62.30-66.50 (%20.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 52.03 (%0.4 üstte)
GLRMK,174.1,3.9,54.88,54.59,-0.67,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,147.60-154.40 (%11.3 altta),195.30-205.40 (%12.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA100 Destek: 172.82 (%0.7 altta) | EMA200 Direnç: 176.09 (%1.1 üstte)
GLRYH,3.08,0.93,47.92,18.47,-0.56,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,3.31-3.53 (%7.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 3.05 (%0.9 altta) | EMA21 Direnç: 3.12 (%1.2 üstte)
GLYHO,16.79,12.88,48.46,71.08,-0.52,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,15.20-15.75 (%6.2 altta),17.31-17.83 (%3.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 16.76 (%0.2 altta) | EMA55 Direnç: 16.82 (%0.2 üstte)
GMTAS,49.92,40.56,62.88,98.6,0.59,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,🟡 Normal Genişlik,1.08,EMA5 Destek: 47.59 (%4.7 altta)
GOKNR,18.33,2.35,43.21,63.04,-0.46,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,23.86-24.94 (%30.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 17.91 (%2.3 altta) | EMA21 Direnç: 18.85 (%2.8 üstte)
GOLDA,12.67,999,52.22,32.38,-0.68,-,⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,-,0.0,EMA5 Destek: 12.55 (%0.9 altta) | EMA21 Direnç: 12.81 (%1.1 üstte)
GOLTS,303.0,1.09,50.29,29.72,-0.85,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,363.59-379.63 (%20.0 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 301.95 (%0.3 altta) | EMA55 Direnç: 308.85 (%1.9 üstte)
GOODY,2.78,3.81,57.73,74.58,0.49,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,2.86-3.19 (%2.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 2.76 (%0.5 altta) | EMA200 Direnç: 2.79 (%0.4 üstte)
GOZDE,22.92,2.61,50.97,56.61,-0.61,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,18.12-19.38 (%15.4 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA55 Destek: 22.82 (%0.4 altta)
GRNYO,11.4,-2.13,25.83,6.14,-0.93,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,19.50-21.06 (%71.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 11.65 (%2.2 üstte)
GRSEL,300.75,0.05,34.34,17.08,-0.92,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,381.25-400.17 (%26.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 300.61 (%0.0 altta) | EMA21 Direnç: 315.01 (%4.7 üstte)
GRTHO,198.6,0.05,39.54,21.57,-0.73,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,248.47-261.17 (%25.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 198.51 (%0.0 altta) | EMA21 Direnç: 214.74 (%8.1 üstte)
GSDDE,13.3,13.13,49.26,25.4,-0.79,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,9.16-9.40 (%29.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 13.23 (%0.6 altta) | EMA21 Direnç: 13.36 (%0.5 üstte)
GSDHO,4.76,1.89,47.8,69.89,-0.53,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,5.81-6.34 (%22.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 4.67 (%1.9 altta) | EMA21 Direnç: 4.76 (%0.0 üstte)
GSRAY,1.03,-0.48,44.23,10.7,-0.87,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,0.96-1.00 (%2.9 altta),1.29-1.35 (%25.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 1.03 (%0.5 üstte)
GUBRF,511.5,18.01,65.2,76.58,0.51,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟢 AL (Trend Onaylı),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 495.62 (%3.1 altta)
GUNDG,916.5,-10.95,27.97,0.0,-0.97,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,83.37-87.17 (%90.5 altta),-,🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-2.07,EMA200 Direnç: 1029.22 (%12.3 üstte)
GWIND,23.12,1.56,48.13,80.82,-0.54,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,27.00-27.84 (%16.8 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 23.07 (%0.2 altta) | EMA55 Direnç: 24.07 (%4.1 üstte)
GZNMI,50.65,-3.15,34.87,6.14,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,43.30-44.46 (%12.2 altta),277.25-299.25 (%447.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 52.30 (%3.3 üstte)
HALKB,51.15,32.97,67.94,83.79,0.94,⚪ Karışık / Testere Piyasası,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 49.63 (%3.0 altta)
HATEK,13.42,2.27,52.07,53.51,-0.02,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,16.60-17.02 (%23.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 13.24 (%1.4 altta) | EMA55 Direnç: 13.86 (%3.3 üstte)
HATSN,66.25,29.36,51.39,19.61,-0.07,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 65.80 (%0.7 altta) | EMA5 Direnç: 67.40 (%1.7 üstte)
HDFGS,2.4,-0.71,40.2,15.96,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,3.50-3.92 (%45.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 2.42 (%0.7 üstte)
HEDEF,40.36,-25.83,19.68,0.0,-0.99,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 54.41 (%34.8 üstte)
HEKTS,2.96,4.56,56.06,72.55,-0.16,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,4.06-4.50 (%37.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 2.84 (%4.0 altta) | EMA55 Direnç: 3.02 (%2.0 üstte)
HKTM,12.91,3.88,50.25,2.64,-0.76,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,14.95-16.36 (%15.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 12.59 (%2.5 altta) | EMA21 Direnç: 13.04 (%1.0 üstte)
HLGYO,4.7,3.66,54.91,94.31,0.6,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔥 AL (Taze Kırılım),3.33-3.43 (%27.1 altta),5.34-5.67 (%13.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 4.57 (%2.8 altta) | EMA55 Direnç: 4.80 (%2.2 üstte)
HOROZ,58.9,0.09,45.1,41.69,-0.8,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,53.50-55.05 (%6.5 altta),65.30-69.60 (%10.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 58.85 (%0.1 altta) | EMA21 Direnç: 60.21 (%2.2 üstte)
HRKET,86.6,1.04,38.17,14.21,-0.95,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,70.10-76.00 (%12.2 altta),120.30-130.90 (%38.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 85.71 (%1.0 altta) | EMA5 Direnç: 88.24 (%1.9 üstte)
HTTBT,35.72,0.09,42.68,79.26,-0.73,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,47.22-48.84 (%32.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 35.69 (%0.1 altta) | EMA21 Direnç: 36.40 (%1.9 üstte)
HUBVC,2.5,-1.26,41.13,53.34,-0.01,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🔴 Düşüş Trendinde,-,2.88-3.20 (%15.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 2.53 (%1.3 üstte)
HUNER,3.75,5.28,47.91,5.59,-0.22,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,2.93-3.01 (%19.7 altta),3.96-4.10 (%5.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 3.73 (%0.6 altta) | EMA21 Direnç: 3.81 (%1.6 üstte)
HURGZ,7.84,16.81,57.76,52.09,-0.53,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 7.52 (%4.0 altta)
ICBCT,19.73,9.74,43.21,84.44,-0.68,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 19.63 (%0.5 altta) | EMA100 Direnç: 19.94 (%1.0 üstte)
ICUGS,4.02,-1.82,29.57,31.07,-0.89,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,2.61-2.76 (%31.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 4.09 (%1.9 üstte)
IDGYO,2.87,-1.09,33.7,58.9,-0.78,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 2.90 (%1.1 üstte)
IEYHO,221.8,90.92,94.59,100.0,0.98,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 215.93 (%2.6 altta)
IHAAS,50.7,-0.25,42.06,9.16,-0.88,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,102.00-106.00 (%101.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 50.83 (%0.3 üstte)
